review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,keywords,themes
08d41b8d-c5f5-4ca9-9287-9ae8294cf0e6,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,NEUTRAL,0.0,"['atms', 'support', 'account', 'account', 'transfer', 'like', 'country', 'kenya', 'nigeria', 'south', 'africa', 'atms support', 'support account', 'account account', 'account transfer', 'transfer like', 'like country', 'country kenya', 'kenya nigeria', 'nigeria south', 'south africa', 'atms support account', 'support account account', 'account account transfer', 'account transfer like', 'transfer like country', 'like country kenya', 'country kenya nigeria', 'kenya nigeria south', 'nigeria south africa']","['Transaction Performance', 'Customer Support']"
747a0d8f-7f36-41ca-b377-f9f687ac2eec,what is this app problem???,1,2025-06-05,CBE,Google Play,NEUTRAL,0.0,"['app', 'problem', 'app problem']",['Other']
64b198ae-91c6-40d4-ba3c-229f97e01c98,the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,NEUTRAL,0.0,"['app', 'proactive', 'good', 'connection', 'app proactive', 'proactive good', 'good connection', 'app proactive good', 'proactive good connection']",['Other']
828c5fcd-f084-4e57-ad56-201735b8e413,I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,NEUTRAL,0.0,"['send', 'cbebirr', 'app', 'app', 'send cbebirr', 'cbebirr app', 'app app', 'send cbebirr app', 'cbebirr app app']",['Other']
46f43687-fa3d-434f-98c1-383d691a4223,good,4,2025-06-05,CBE,Google Play,NEUTRAL,0.0,['good'],['Other']
92bd0c0a-bbe3-497d-9963-263a5ca93efb,not functional,1,2025-06-05,CBE,Google Play,NEUTRAL,0.0,['functional'],['Other']
396dad3b-1f6b-4f50-8c6d-0293feaf9e97,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,NEUTRAL,0.0,"['everytime', 'uninstall', 'app', 'reach', 'physically', 'oldy', 'one', 'security', 'layer', 'check', 'fraud', 'attempt', 'via', 'app', 'source', 'app', 'store', 'play', 'store', 'etc', 'implicitly', 'physical', 'presence', 'every', 'app', 'install', 'rare', 'everytime uninstall', 'uninstall app', 'app reach', 'reach physically', 'physically oldy', 'oldy one', 'one security', 'security layer', 'layer check', 'check fraud', 'fraud attempt', 'attempt via', 'via app', 'app source', 'source app', 'app store', 'store play', 'play store', 'store etc', 'etc implicitly', 'implicitly physical', 'physical presence', 'presence every', 'every app', 'app install', 'install rare', 'everytime uninstall app', 'uninstall app reach', 'app reach physically', 'reach physically oldy', 'physically oldy one', 'oldy one security', 'one security layer', 'security layer check', 'layer check fraud', 'check fraud attempt', 'fraud attempt via', 'attempt via app', 'via app source', 'app source app', 'source app store', 'app store play', 'store play store', 'play store etc', 'store etc implicitly', 'etc implicitly physical', 'implicitly physical presence', 'physical presence every', 'presence every app', 'every app install', 'app install rare']",['Other']
7a39aca3-acc6-42e9-b91c-ebc7382ef23f,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,NEUTRAL,0.0,"['አካውንት', 'የምናስገባበት', 'ቦታ', 'ስም', 'ጽፈን', 'ነው', 'ከዚህ', 'በፊት', 'የላክንባቸውን', 'አካዉንቶች', 'የምንፈልገዉ', 'ነገር', 'ግን', 'አዲስ', 'አካውንቶች', 'mr', 'ብለዉ', 'የሚጀምሩ', 'በዝተዋል', 'ግን', 'አፕልኬሽኑ', 'space', 'ስንጽፍ', 'አይቀበልም', 'ቢስተካከል', 'አካውንት የምናስገባበት', 'የምናስገባበት ቦታ', 'ቦታ ስም', 'ስም ጽፈን', 'ጽፈን ነው', 'ነው ከዚህ', 'ከዚህ በፊት', 'በፊት የላክንባቸውን', 'የላክንባቸውን አካዉንቶች', 'አካዉንቶች የምንፈልገዉ', 'የምንፈልገዉ ነገር', 'ነገር ግን', 'ግን አዲስ', 'አዲስ አካውንቶች', 'አካውንቶች mr', 'mr ብለዉ', 'ብለዉ የሚጀምሩ', 'የሚጀምሩ በዝተዋል', 'በዝተዋል ግን', 'ግን አፕልኬሽኑ', 'አፕልኬሽኑ space', 'space ስንጽፍ', 'ስንጽፍ አይቀበልም', 'አይቀበልም ቢስተካከል', 'አካውንት የምናስገባበት ቦታ', 'የምናስገባበት ቦታ ስም', 'ቦታ ስም ጽፈን', 'ስም ጽፈን ነው', 'ጽፈን ነው ከዚህ', 'ነው ከዚህ በፊት', 'ከዚህ በፊት የላክንባቸውን', 'በፊት የላክንባቸውን አካዉንቶች', 'የላክንባቸውን አካዉንቶች የምንፈልገዉ', 'አካዉንቶች የምንፈልገዉ ነገር', 'የምንፈልገዉ ነገር ግን', 'ነገር ግን አዲስ', 'ግን አዲስ አካውንቶች', 'አዲስ አካውንቶች mr', 'አካውንቶች mr ብለዉ', 'mr ብለዉ የሚጀምሩ', 'ብለዉ የሚጀምሩ በዝተዋል', 'የሚጀምሩ በዝተዋል ግን', 'በዝተዋል ግን አፕልኬሽኑ', 'ግን አፕልኬሽኑ space', 'አፕልኬሽኑ space ስንጽፍ', 'space ስንጽፍ አይቀበልም', 'ስንጽፍ አይቀበልም ቢስተካከል']",['Other']
58dc8cd8-896c-47b6-8d8e-c05e9f7af4fd,best,5,2025-06-04,CBE,Google Play,NEUTRAL,0.0,['well'],['Other']
ed4eb064-6fe6-4c5f-8436-05c9ee3641c7,bezabih,5,2025-06-04,CBE,Google Play,NEUTRAL,0.0,['bezabih'],['Other']
